imageSrc,czechName,info
https://commons.wikimedia.org/wiki/Special:FilePath/Cyprinus_carpio.jpg,Kapr obecný,"Kapr je velmi odolná ryba, která dokáže přežít i ve vodě s nízkým množstvím kyslíku. Má vousky, kterými hledá potravu na dně. Roste pomalu, ale může se dožít desítek let. Často se chová v rybnících."
https://commons.wikimedia.org/wiki/Special:FilePath/Esox_lucius.jpg,Štika obecná,"Štika je rychlý dravec, který číhá na kořist a útočí bleskově. Má ostré zuby a protáhlé tělo. Loví ryby i menší živočichy. Patří mezi hlavní predátory našich vod."
https://commons.wikimedia.org/wiki/Special:FilePath/Tinca_tinca.jpg,Lín obecný,"Lín má slizké tělo, které ho chrání před nemocemi. Žije v klidných vodách a je aktivní hlavně večer. Má nenápadné zbarvení. Často se zdržuje u dna."
https://commons.wikimedia.org/wiki/Special:FilePath/Chondrostoma_nasus.jpg,Podoustev říční,Podoustev má spodní ústa přizpůsobená k seškrabávání potravy z kamenů. Žije v tekoucích vodách. Často tvoří hejna. Je citlivá na znečištění.
https://commons.wikimedia.org/wiki/Special:FilePath/Chondrostoma_toxostoma.jpg,Ostroretka stěhovavá,"Ostroretka má ostrý okraj tlamy, kterým sbírá potravu z kamenů. Žije v proudících vodách. Je méně známá než podoustev. Potřebuje čisté prostředí."
https://commons.wikimedia.org/wiki/Special:FilePath/Salmo_salar.jpg,Losos obecný,"Losos je známý svými dlouhými tahy z moře do řek. Vrací se na místo, kde se narodil. Překonává překážky jako jezy. Je symbolem vytrvalosti."
https://commons.wikimedia.org/wiki/Special:FilePath/Salmo_trutta.jpg,Pstruh obecný,Pstruh žije v čisté studené vodě. Má skvrnité tělo a výborně splývá s okolím. Je citlivý na znečištění. Loví hmyz i malé ryby.
https://commons.wikimedia.org/wiki/Special:FilePath/Acipenser_ruthenus.jpg,Jeseter malý,Jeseter patří mezi velmi staré druhy ryb. Má kostěné štítky místo šupin. Žije u dna. Může se dožít vysokého věku.
https://commons.wikimedia.org/wiki/Special:FilePath/Hucho_hucho.jpg,Hlavatka podunajská,Hlavatka je velká dravá ryba z horských řek. Loví jiné ryby. Potřebuje čistou vodu. Patří mezi vzácnější druhy.
https://commons.wikimedia.org/wiki/Special:FilePath/Thymallus_thymallus.jpg,Lipan podhorní,Lipan má velkou hřbetní ploutev. Žije v čistých řekách. Živí se hmyzem. Je citlivý na kvalitu vody.
https://commons.wikimedia.org/wiki/Special:FilePath/Anguilla_anguilla.jpg,Úhoř říční,Úhoř má hadovité tělo a migruje do moře. Aktivní je hlavně v noci. Skrývá se v úkrytech. Má zajímavý životní cyklus.
https://commons.wikimedia.org/wiki/Special:FilePath/Leuciscus_idus.jpg,Jelec jesen,Jelec je přizpůsobivá ryba. Žije v řekách i nádržích. Živí se různorodou potravou. Často plave ve skupinách.
https://commons.wikimedia.org/wiki/Special:FilePath/Barbus_barbus.jpg,Parma obecná,Parma žije v proudících vodách. Má vousky kolem tlamy. Drží se u dna. Potřebuje čistou vodu.
https://commons.wikimedia.org/wiki/Special:FilePath/Aspius_aspius.jpg,Bolen dravý,Bolen loví u hladiny a je velmi rychlý. Útočí na hejna ryb. Má silné tělo. Je aktivní přes den.
https://commons.wikimedia.org/wiki/Special:FilePath/Coregonus_maraena.jpg,Síh severní maréna,Síh žije v hlubších a chladnějších vodách. Má jemné maso. Živí se planktonem. Je citlivý na prostředí.
https://commons.wikimedia.org/wiki/Special:FilePath/Hypophthalmichthys_molitrix.jpg,Tolstolobik bílý,Tolstolobik filtruje plankton z vody. Má velkou hlavu. Pomáhá čistit vodu. Roste rychle.
https://commons.wikimedia.org/wiki/Special:FilePath/Sander_lucioperca.jpg,Candát obecný,Candát vidí dobře i v šeru. Je to dravec s ostrými zuby. Žije v hlubší vodě. Loví hlavně večer.
https://commons.wikimedia.org/wiki/Special:FilePath/Carassius_carassius.jpg,Karas obecný,Karas je velmi odolná ryba. Přežije i v extrémních podmínkách. Žije v rybnících. Snese málo kyslíku.
https://commons.wikimedia.org/wiki/Special:FilePath/Squalius_cephalus.jpg,Jelec tloušť,Tloušť je velmi přizpůsobivý. Žije v různých vodách. Živí se hmyzem i rostlinami. Často u hladiny.
https://commons.wikimedia.org/wiki/Special:FilePath/Rutilus_rutilus.jpg,Plotice obecná,Plotice žije ve velkých hejnech. Má červené oči. Je důležitá potrava pro dravce. Živí se různě.
https://commons.wikimedia.org/wiki/Special:FilePath/Oncorhynchus_mykiss.jpg,Pstruh duhový,Pstruh duhový byl dovezen z Ameriky. Má barevný pruh na těle. Roste rychle. Často se chová.
